Benchmark,IPC
sjeng,0.6984902293095435
libquantum,0.7370499513008665
calculix,0.01997361155707237
mcf,0.16172843659605218
zeusmp,0.5253394881718969
milc,0.35411042647178587
perlbench,0.8980561915419416
leslie3d,0.29789922219913695
hmmer,0.8981726565402736
namd,0.6536758708013841
cactusADM,0.5119221907241008
bwaves,0.3635060343561299
lbm,0.1918690622469538
bzip2,0.891501964002245
GemsFDTD,0.388559050418756
gromacs,0.6386050643878174
povray,0.5847531774198224
astar,0.7619382970645007
omnetpp,0.5159139388258969
gobmk,0.7414846008451834
h264ref,0.9647860380261379